frequency;V(/BPF) (phase);V(/BPF) (gain);V(/BSF) (phase);V(/BSF) (gain);V(/HPF) (phase);V(/HPF) (gain);V(/LPF) (phase);V(/LPF) (gain);
257.04;-91.5584;-11.3412;178.436;-0.00334089;178.446;-23.2566;-1.56274;0.574279;
263.027;-91.5997;-11.1131;178.394;-0.00351344;178.405;-22.8285;-1.60418;0.6023;
269.153;-91.6424;-10.8837;178.351;-0.00369642;178.362;-22.3991;-1.64699;0.631738;
275.423;-91.6865;-10.6528;178.307;-0.00389057;178.318;-21.9682;-1.69123;0.662669;
281.838;-91.732;-10.4203;178.261;-0.0040967;178.273;-21.5357;-1.73696;0.695175;
288.403;-91.7792;-10.1861;178.213;-0.00431572;178.226;-21.1015;-1.78426;0.729342;
295.121;-91.8279;-9.95018;178.164;-0.00454859;178.177;-20.6656;-1.83322;0.765262;
301.995;-91.8785;-9.71241;178.113;-0.00479638;178.127;-20.2278;-1.88391;0.803034;
309.03;-91.9308;-9.47269;178.06;-0.00506025;178.075;-19.7881;-1.93643;0.84276;
316.228;-91.9851;-9.2309;178.006;-0.0053415;178.021;-19.3463;-1.99087;0.884552;
323.594;-92.0414;-8.98692;177.949;-0.00564152;177.965;-18.9023;-2.04736;0.928527;
331.131;-92.0998;-8.74064;177.89;-0.00596187;177.906;-18.4561;-2.10599;0.974812;
338.844;-92.1605;-8.49191;177.829;-0.00630428;177.846;-18.0073;-2.1669;1.02354;
346.737;-92.2237;-8.2406;177.765;-0.00667063;177.783;-17.556;-2.23023;1.07486;
354.813;-92.2894;-7.98654;177.699;-0.00706305;177.717;-17.102;-2.29612;1.12891;
363.078;-92.3578;-7.72958;177.63;-0.00748387;177.649;-16.645;-2.36473;1.18588;
371.535;-92.4291;-7.46954;177.558;-0.0079357;177.578;-16.185;-2.43624;1.24592;
380.189;-92.5035;-7.20623;177.483;-0.00842147;177.504;-15.7217;-2.51084;1.30924;
389.045;-92.5812;-6.93943;177.404;-0.00894444;177.427;-15.2549;-2.58875;1.37603;
398.107;-92.6624;-6.66895;177.322;-0.00950828;177.346;-14.7844;-2.67019;1.44652;
407.38;-92.7474;-6.39453;177.236;-0.0101171;177.261;-14.31;-2.75541;1.52094;
416.869;-92.8365;-6.11593;177.146;-0.0107757;177.172;-13.8314;-2.84471;1.59955;
426.58;-92.9299;-5.83286;177.052;-0.0114892;177.079;-13.3483;-2.93839;1.68262;
436.516;-93.0281;-5.54503;176.953;-0.0122637;176.981;-12.8605;-3.0368;1.77046;
446.684;-93.1314;-5.25211;176.848;-0.0131061;176.878;-12.3676;-3.14031;1.86338;
457.088;-93.2402;-4.95375;176.738;-0.0140242;176.769;-11.8692;-3.24936;1.96174;
467.735;-93.355;-4.64957;176.622;-0.0150271;176.655;-11.365;-3.36443;2.06592;
478.63;-93.4764;-4.33914;176.499;-0.0161252;176.533;-10.8546;-3.48604;2.17635;
489.779;-93.6049;-4.02201;176.369;-0.0173306;176.405;-10.3375;-3.61481;2.29349;
501.187;-93.7412;-3.69768;176.231;-0.0186574;176.269;-9.81314;-3.75141;2.41783;
512.861;-93.8861;-3.36558;176.085;-0.0201221;176.124;-9.28105;-3.89662;2.54993;
524.807;-94.0406;-3.0251;175.928;-0.0217441;175.97;-8.74058;-4.05132;2.69041;
537.032;-94.2055;-2.67558;175.761;-0.0235462;175.806;-8.19106;-4.21651;2.83994;
549.541;-94.382;-2.31625;175.582;-0.0255559;175.629;-7.63173;-4.39336;2.99928;
562.341;-94.5716;-1.94628;175.39;-0.0278056;175.44;-7.06177;-4.5832;3.16925;
575.44;-94.7757;-1.56475;175.183;-0.0303349;175.236;-6.48024;-4.78759;3.35079;
588.844;-94.9961;-1.17059;174.96;-0.0331914;175.016;-5.88609;-5.00833;3.54495;
602.56;-95.235;-0.762623;174.717;-0.0364337;174.778;-5.27813;-5.24755;3.75292;
616.595;-95.4949;-0.339517;174.454;-0.0401338;174.518;-4.65503;-5.50778;3.97604;
630.957;-95.7789;0.100252;174.165;-0.0443816;174.234;-4.01527;-5.79201;4.21581;
645.654;-96.0904;0.558428;173.849;-0.0492902;173.923;-3.3571;-6.10384;4.474;
660.693;-96.4338;1.03702;173.5;-0.0550033;173.58;-2.67852;-6.44765;4.75259;
676.083;-96.8146;1.53833;173.113;-0.0617062;173.2;-1.97721;-6.82875;5.05391;
691.831;-97.2392;2.06509;172.682;-0.0696403;172.775;-1.25046;-7.25374;5.38068;
707.946;-97.716;2.62046;172.197;-0.0791259;172.299;-0.495096;-7.73086;5.73606;
724.436;-98.2553;3.20822;171.648;-0.0905939;171.76;0.292655;-8.27053;6.12383;
741.31;-98.8705;3.83287;171.022;-0.104636;171.145;1.11729;-8.88613;6.54849;
758.578;-99.5791;4.49985;170.301;-0.12208;170.437;1.98426;-9.59513;7.01548;
776.247;-100.404;5.2158;169.461;-0.144117;169.612;2.9002;-10.4208;7.53144;
794.328;-101.378;5.98892;168.47;-0.172504;168.639;3.87331;-11.3945;8.10457;
812.831;-102.543;6.82946;167.282;-0.209918;167.474;4.91384;-12.5601;8.74512;
831.764;-103.963;7.7504;165.835;-0.260597;166.055;6.03477;-13.9802;9.46607;
851.138;-105.729;8.76837;164.034;-0.331563;164.289;7.25273;-15.747;10.2841;
870.964;-107.983;9.90482;161.734;-0.435086;162.036;8.58916;-18.0015;11.2205;
891.251;-110.95;11.1873;158.703;-0.594091;159.069;10.0716;-20.9694;12.303;
912.011;-115.01;12.6499;154.553;-0.855084;155.01;11.7342;-25.029;13.5656;
933.254;-120.827;14.3288;148.592;-1.32276;149.193;13.6131;-30.8472;15.0445;
954.993;-129.62;16.2363;139.543;-2.26625;140.4;15.7206;-39.6408;16.7521;
977.237;-143.502;18.2564;125.081;-4.51021;126.519;17.9407;-53.5225;18.5722;
1000;-164.816;19.8531;101.176;-11.6161;105.205;19.7374;-74.8375;19.9689;
1023.29;168.801;20.0043;-95.5012;-14.191;78.8235;20.0885;-101.22;19.9201;
1047.13;146.237;18.5768;-122.004;-5.09797;56.2591;18.861;-123.786;18.2926;
1071.52;131.243;16.5728;-137.685;-2.47505;41.2663;17.057;-138.78;16.0886;
1096.48;121.775;14.632;-147.437;-1.40954;31.7984;15.3161;-148.249;13.9478;
1122.02;115.565;12.9144;-153.802;-0.894427;25.5889;13.7985;-154.459;12.0302;
1148.15;111.268;11.4181;-158.195;-0.612369;21.2933;12.5022;-158.756;10.334;
1174.9;108.15;10.1081;-161.38;-0.443055;18.1753;11.3922;-161.875;8.82401;
1202.26;105.794;8.94941;-163.783;-0.33412;15.8205;10.4335;-164.231;7.46536;
1230.27;103.957;7.91334;-165.656;-0.26017;13.9838;9.59741;-166.069;6.22932;
1258.93;102.486;6.97751;-167.155;-0.207792;12.5131;8.86155;-167.541;5.09351;
1288.25;101.282;6.12458;-168.381;-0.169399;11.3096;8.20859;-168.746;4.04061;
1318.26;100.278;5.34102;-169.402;-0.140451;10.3068;7.625;-169.75;3.05708;
1348.96;99.4289;4.61619;-170.265;-0.118103;9.45825;7.10014;-170.6;2.13228;
1380.38;98.7008;3.94158;-171.005;-0.100501;8.7308;6.6255;-171.329;1.2577;
1412.54;98.0693;3.31031;-171.646;-0.0863981;8.10003;6.1942;-171.961;0.426469;
1445.44;97.5162;2.71678;-172.208;-0.0749289;7.54765;5.80063;-172.515;-0.367033;
1479.11;97.0275;2.15632;-172.703;-0.0654797;7.05968;5.44013;-173.004;-1.12745;
1513.56;96.5923;1.62507;-173.144;-0.0576051;6.62526;5.10885;-173.44;-1.85866;
1548.82;96.2021;1.11975;-173.538;-0.0509755;6.23583;4.80349;-173.831;-2.56394;
1584.89;95.85;0.637594;-173.894;-0.0453433;5.88457;4.52129;-174.184;-3.24606;
1621.81;95.5306;0.176209;-174.217;-0.0405193;5.56594;4.25986;-174.504;-3.9074;
1659.59;95.2392;-0.266453;-174.51;-0.0363569;5.27544;4.01715;-174.797;-4.55002;
1698.24;94.9723;-0.692174;-174.779;-0.0327414;5.00935;3.79138;-175.064;-5.17569;
1737.8;94.7267;-1.10251;-175.026;-0.0295817;4.76458;3.58099;-175.311;-5.78597;
1778.28;94.4997;-1.49883;-175.254;-0.0268051;4.53854;3.38462;-175.539;-6.38224;
1819.7;94.2893;-1.88234;-175.464;-0.0243526;4.32903;3.20106;-175.75;-6.96569;
1862.09;94.0935;-2.2541;-175.66;-0.0221763;4.13419;3.02923;-175.947;-7.5374;
1905.46;93.9108;-2.61508;-175.843;-0.0202367;3.95244;2.86819;-176.13;-8.09832;
1949.84;93.7398;-2.96612;-176.013;-0.0185011;3.7824;2.71709;-176.302;-8.64929;
1995.26;93.5793;-3.30799;-176.173;-0.0169423;3.62287;2.57516;-176.464;-9.19109;
2041.74;93.4282;-3.64137;-176.323;-0.0155375;3.47284;2.44171;-176.616;-9.7244;
2089.3;93.2857;-3.96688;-176.464;-0.0142674;3.33139;2.31612;-176.759;-10.2498;
2137.96;93.151;-4.2851;-176.597;-0.0131157;3.19774;2.19782;-176.895;-10.768;
2187.76;93.0234;-4.59653;-176.722;-0.0120685;3.07119;2.08631;-177.024;-11.2793;
2238.72;92.9022;-4.90164;-176.841;-0.0111137;2.95111;1.98112;-177.146;-11.7844;
2290.87;92.7869;-5.20085;-176.954;-0.0102411;2.83697;1.88182;-177.263;-12.2835;
2344.23;92.677;-5.49455;-177.061;-0.0094418;2.72827;1.78803;-177.374;-12.7771;
2398.83;92.5721;-5.78311;-177.163;-0.00870806;2.62457;1.69937;-177.48;-13.2656;
2454.71;92.4718;-6.06685;-177.261;-0.00803316;2.52548;1.61553;-177.581;-13.7492;
2511.89;92.3757;-6.34607;-177.354;-0.00741119;2.43066;1.5362;-177.679;-14.2283;
2570.4;92.2835;-6.62106;-177.442;-0.00683698;2.33977;1.46111;-177.772;-14.7032;
2630.27;92.195;-6.89207;-177.527;-0.00630597;2.25253;1.38998;-177.862;-15.1741;
2691.53;92.1098;-7.15934;-177.609;-0.00581413;2.16869;1.32259;-177.948;-15.6412;
2754.23;92.0277;-7.42309;-177.687;-0.00535789;2.08799;1.25871;-178.032;-16.1049;
2818.38;91.9486;-7.68353;-177.762;-0.00493408;2.01023;1.19813;-178.112;-16.5652;
2884.03;91.8721;-7.94086;-177.834;-0.00453986;1.93521;1.14067;-178.19;-17.0224;
2951.21;91.7981;-8.19524;-177.903;-0.00417272;1.86274;1.08614;-178.266;-17.4766;
3019.95;91.7266;-8.44685;-177.97;-0.00383038;1.79266;1.03438;-178.339;-17.928;
3090.3;91.6572;-8.69583;-178.034;-0.00351082;1.72481;0.985233;-178.41;-18.3769;
3162.28;91.5898;-8.94235;-178.097;-0.00321219;1.65906;0.938552;-178.479;-18.8232;
3235.94;91.5244;-9.18652;-178.157;-0.00293286;1.59526;0.894201;-178.546;-19.2672;
3311.31;91.4608;-9.42849;-178.215;-0.00267132;1.53331;0.852054;-178.611;-19.709;
3388.44;91.3989;-9.66836;-178.271;-0.00242622;1.47308;0.811991;-178.674;-20.1487;
3467.37;91.3386;-9.90625;-178.326;-0.00219634;1.41447;0.773901;-178.736;-20.5864;
3548.13;91.2797;-10.1423;-178.378;-0.00198056;1.35739;0.737679;-178.797;-21.0222;
3630.78;91.2222;-10.3765;-178.43;-0.00177787;1.30174;0.703225;-178.856;-21.4562;
3715.35;91.1661;-10.609;-178.479;-0.00158733;1.24745;0.670447;-178.914;-21.8885;
3801.89;91.1112;-10.84;-178.528;-0.0014081;1.19442;0.639258;-178.971;-22.3192;
3890.45;91.0574;-11.0694;-178.574;-0.00123941;1.14258;0.609576;-179.027;-22.7484;
3981.07;91.0047;-11.2974;-178.62;-0.00108054;1.09187;0.581322;-179.081;-23.1761;
4073.8;90.953;-11.524;-178.665;-0.000930835;1.04222;0.554424;-179.135;-23.6025;
4168.69;90.9023;-11.7493;-178.708;-0.000789701;0.993563;0.528813;-179.188;-24.0275;
4265.8;90.8524;-11.9734;-178.75;-0.000656584;0.945843;0.504424;-179.24;-24.4513;
4365.16;90.8034;-12.1963;-178.791;-0.000530972;0.899003;0.481195;-179.291;-24.8739;
4466.84;90.7552;-12.4181;-178.831;-0.000412397;0.852992;0.459068;-179.342;-25.2953;
4570.88;90.7076;-12.6389;-178.87;-0.000300423;0.807757;0.437989;-179.391;-25.7157;
4677.35;90.6608;-12.8586;-178.908;-0.000194649;0.763253;0.417905;-179.44;-26.1351;
4786.3;90.6146;-13.0773;-178.946;-9.47022e-05;0.719432;0.398767;-179.489;-26.5534;
4897.79;90.569;-13.2952;-178.982;-2.37552e-07;0.676251;0.380529;-179.537;-26.9709;
5011.87;90.5239;-13.5121;-179.018;8.90651e-05;0.63367;0.363147;-179.585;-27.3874;
5128.61;90.4793;-13.7282;-179.053;0.000173503;0.591646;0.346578;-179.632;-27.8031;
5248.07;90.4352;-13.9436;-179.088;0.000253353;0.550144;0.330784;-179.678;-28.218;
5370.32;90.3915;-14.1582;-179.121;0.000328872;0.509124;0.315726;-179.725;-28.6321;
5495.41;90.3482;-14.372;-179.154;0.000400299;0.468553;0.301369;-179.771;-29.0455;
5623.41;90.3052;-14.5852;-179.187;0.000467857;0.428396;0.28768;-179.816;-29.4581;
5754.4;90.2626;-14.7977;-179.218;0.000531755;0.388619;0.274626;-179.862;-29.8701;
5888.44;90.2202;-15.0095;-179.25;0.000592186;0.349191;0.262177;-179.907;-30.2814;
6025.6;90.1781;-15.2208;-179.28;0.000649331;0.310081;0.250304;-179.952;-30.692;
6165.95;90.1362;-15.4315;-179.31;0.000703358;0.271259;0.238979;-179.997;-31.1021;
6309.57;90.0945;-15.6416;-179.34;0.000754427;0.232695;0.228177;179.958;-31.5116;
6456.54;90.053;-15.8512;-179.369;0.000802684;0.194361;0.217873;179.913;-31.9205;
6606.93;90.0115;-16.0603;-179.398;0.000848267;0.156229;0.208042;179.869;-32.3289;
6760.83;89.9702;-16.2689;-179.427;0.000891304;0.118272;0.198664;179.824;-32.7368;
6918.31;89.929;-16.4771;-179.455;0.000931916;0.080464;0.189716;179.779;-33.1442;
7079.46;89.8877;-16.6848;-179.482;0.000970216;0.0427781;0.181177;179.735;-33.5511;
7244.36;89.8465;-16.8921;-179.509;0.00100631;0.00518912;0.17303;179.69;-33.9575;
7413.1;89.8053;-17.0989;-179.536;0.00104029;-0.032328;0.165256;179.645;-34.3634;
7585.78;89.7641;-17.3054;-179.563;0.00107226;-0.069798;0.157836;179.6;-34.769;
7762.47;89.7228;-17.5114;-179.589;0.00110229;-0.107245;0.150755;179.555;-35.1741;
7943.28;89.6814;-17.7171;-179.615;0.00113047;-0.144693;0.143997;179.51;-35.5788;
8128.31;89.6399;-17.9225;-179.641;0.00115687;-0.182166;0.137546;179.464;-35.9831;
8317.64;89.5982;-18.1275;-179.667;0.00118157;-0.219687;0.131389;179.419;-36.387;
8511.38;89.5564;-18.3321;-179.692;0.00120462;-0.25728;0.125511;179.373;-36.7905;
8709.64;89.5144;-18.5365;-179.717;0.00122608;-0.294967;0.119899;179.326;-37.1936;
8912.51;89.4722;-18.7405;-179.742;0.00124602;-0.332772;0.114542;179.28;-37.5964;
9120.11;89.4297;-18.9442;-179.767;0.00126448;-0.370716;0.109427;179.233;-37.9988;
9332.54;89.3869;-19.1477;-179.792;0.00128151;-0.408823;0.104544;179.186;-38.4009;
9549.93;89.3439;-19.3508;-179.816;0.00129716;-0.447116;0.0998806;179.138;-38.8026;
9772.37;89.3006;-19.5537;-179.84;0.00131146;-0.485616;0.0954275;179.09;-39.204;
10000;89.2569;-19.7562;-179.865;0.00132445;-0.524345;0.0911748;179.041;-39.605;
10232.9;89.2128;-19.9586;-179.889;0.00133616;-0.563328;0.0871132;178.992;-40.0057;
10471.3;89.1684;-20.1606;-179.913;0.00134662;-0.602585;0.0832337;178.943;-40.4061;
10715.2;89.1235;-20.3624;-179.937;0.00135587;-0.642139;0.0795281;178.893;-40.8061;
10964.8;89.0782;-20.5639;-179.961;0.00136392;-0.682013;0.075988;178.842;-41.2058;
11220.2;89.0324;-20.7652;-179.985;0.00137079;-0.722229;0.072606;178.791;-41.6052;
11481.5;88.9862;-20.9662;179.991;0.00137651;-0.76281;0.0693746;178.739;-42.0042;
11749;88.9394;-21.167;179.968;0.00138108;-0.803779;0.0662867;178.687;-42.4029;
12022.6;88.892;-21.3676;179.944;0.00138453;-0.845158;0.0633358;178.634;-42.8013;
12302.7;88.8441;-21.5679;179.92;0.00138686;-0.88697;0.0605154;178.58;-43.1993;
12589.3;88.7957;-21.7679;179.896;0.00138807;-0.929239;0.0578194;178.525;-43.5971;
12882.5;88.7465;-21.9677;179.872;0.00138818;-0.971988;0.0552419;178.47;-43.9944;
13182.6;88.6968;-22.1673;179.848;0.00138719;-1.01524;0.0527775;178.414;-44.3915;
13489.6;88.6463;-22.3666;179.824;0.00138509;-1.05902;0.0504207;178.357;-44.7882;
13803.8;88.5952;-22.5657;179.8;0.00138188;-1.10335;0.0481665;178.299;-45.1845;
14125.4;88.5433;-22.7645;179.776;0.00137756;-1.14826;0.0460101;178.241;-45.5805;
14454.4;88.4907;-22.9631;179.751;0.00137211;-1.19376;0.0439467;178.181;-45.9761;
14791.1;88.4373;-23.1615;179.727;0.00136554;-1.23989;0.041972;178.12;-46.3714;
15135.6;88.3831;-23.3596;179.702;0.00135782;-1.28667;0.0400817;178.059;-46.7663;
15488.2;88.328;-23.5574;179.677;0.00134894;-1.33412;0.0382718;177.997;-47.1608;
15848.9;88.2721;-23.7549;179.652;0.00133889;-1.38228;0.0365383;177.933;-47.555;
16218.1;88.2152;-23.9522;179.627;0.00132764;-1.43116;0.0348776;177.869;-47.9487;
16595.9;88.1574;-24.1493;179.602;0.00131516;-1.48079;0.033286;177.803;-48.3421;
16982.4;88.0987;-24.346;179.576;0.00130145;-1.5312;0.0317602;177.736;-48.735;
17378;88.039;-24.5425;179.551;0.00128645;-1.58242;0.0302969;177.668;-49.1275;
17782.8;87.9782;-24.7386;179.525;0.00127015;-1.63447;0.0288929;177.599;-49.5196;
18197;87.9164;-24.9345;179.499;0.00125251;-1.68739;0.0275453;177.529;-49.9113;
18620.9;87.8535;-25.1301;179.472;0.0012335;-1.74119;0.0262511;177.457;-50.3025;
19054.6;87.7895;-25.3253;179.445;0.00121306;-1.79591;0.0250077;177.384;-50.6933;
19498.4;87.7243;-25.5202;179.418;0.00119117;-1.85158;0.0238122;177.31;-51.0837;
19952.6;87.658;-25.7148;179.391;0.00116777;-1.90823;0.0226623;177.234;-51.4735;
20417.4;87.5904;-25.909;179.363;0.00114282;-1.96589;0.0215554;177.157;-51.8629;
20893;87.5215;-26.1029;179.335;0.00111626;-2.02458;0.0204892;177.078;-52.2518;
21379.6;87.4514;-26.2964;179.307;0.00108803;-2.08435;0.0194613;176.998;-52.6402;
21877.6;87.3799;-26.4895;179.278;0.00105808;-2.14521;0.0184696;176.916;-53.0281;
22387.2;87.3071;-26.6822;179.249;0.00102635;-2.20722;0.0175121;176.833;-53.4154;
22908.7;87.2329;-26.8746;179.22;0.000992762;-2.27038;0.0165865;176.748;-53.8023;
23442.3;87.1572;-27.0664;179.19;0.00095725;-2.33475;0.015691;176.661;-54.1886;
23988.3;87.08;-27.2579;179.159;0.00091974;-2.40035;0.0148237;176.573;-54.5744;
24547.1;87.0014;-27.4489;179.129;0.000880151;-2.46723;0.0139827;176.483;-54.9597;
25118.9;86.9211;-27.6394;179.097;0.000838399;-2.53541;0.0131662;176.391;-55.3444;
25704;86.8393;-27.8294;179.066;0.000794397;-2.60493;0.0123725;176.297;-55.7286;
26302.7;86.7558;-28.0189;179.034;0.000748052;-2.67582;0.0115999;176.201;-56.1122;
26915.3;86.6707;-28.2078;179.001;0.000699265;-2.74814;0.0108467;176.104;-56.4952;
27542.3;86.5838;-28.3962;178.968;0.000647933;-2.8219;0.0101114;176.004;-56.8778;
28183.8;86.4951;-28.584;178.934;0.000593947;-2.89717;0.00939235;175.902;-57.2597;
28840.3;86.4047;-28.7712;178.9;0.000537194;-2.97396;0.00868805;175.798;-57.6412;
29512.1;86.3123;-28.9578;178.865;0.000477553;-3.05233;0.007997;175.692;-58.0221;
30199.5;86.2181;-29.1438;178.829;0.000414898;-3.13231;0.00731774;175.583;-58.4025;
30903;86.1219;-29.329;178.793;0.000349096;-3.21395;0.00664883;175.472;-58.7823;
31622.8;86.0237;-29.5136;178.756;0.000280009;-3.29729;0.00598883;175.359;-59.1618;
32359.4;85.9235;-29.6974;178.719;0.00020749;-3.38238;0.00533636;175.243;-59.5407;
33113.1;85.8212;-29.8805;178.681;0.000131386;-3.46925;0.00469002;175.125;-59.9192;
33884.4;85.7167;-30.0627;178.642;5.15349e-05;-3.55796;0.00404845;175.004;-60.2974;
34673.7;85.61;-30.2442;178.602;-3.22311e-05;-3.64855;0.00341028;174.881;-60.6751;
35481.3;85.5011;-30.4248;178.562;-0.000120089;-3.74108;0.00277415;174.754;-61.0526;
36307.8;85.3899;-30.6044;178.521;-0.000212226;-3.83558;0.00213873;174.625;-61.4298;
37153.5;85.2763;-30.7832;178.479;-0.000308836;-3.93211;0.00150265;174.493;-61.8069;
38018.9;85.1603;-30.9609;178.436;-0.000410123;-4.03072;0.000864584;174.357;-62.1838;
38904.5;85.0418;-31.1377;178.393;-0.000516301;-4.13147;0.000223166;174.219;-62.5607;
39810.7;84.9208;-31.3134;178.349;-0.000627595;-4.23439;-0.000422959;174.077;-62.9376;
40738;84.7972;-31.488;178.304;-0.000744241;-4.33956;-0.00107516;173.932;-63.3148;
41686.9;84.671;-31.6615;178.257;-0.000866484;-4.44702;-0.00173482;173.783;-63.6922;
42658;84.5421;-31.8338;178.21;-0.000994582;-4.55684;-0.00240333;173.63;-64.07;
43651.6;84.4104;-32.0049;178.163;-0.00112881;-4.66906;-0.00308211;173.474;-64.4485;
44668.4;84.2759;-32.1747;178.114;-0.00126944;-4.78375;-0.0037726;173.314;-64.8277;
45708.8;84.1386;-32.3432;178.064;-0.00141679;-4.90097;-0.00447624;173.149;-65.2078;
46773.5;83.9982;-32.5103;178.013;-0.00157115;-5.02078;-0.00519455;172.98;-65.5891;
47863;83.8549;-32.676;177.961;-0.00173285;-5.14324;-0.00592902;172.807;-65.9719;
48977.9;83.7084;-32.8401;177.908;-0.00190224;-5.26842;-0.00668122;172.628;-66.3563;
50118.7;83.5589;-33.0028;177.854;-0.00207967;-5.39638;-0.00745272;172.445;-66.7428;
51286.1;83.4061;-33.1638;177.798;-0.00226552;-5.52719;-0.00824517;172.256;-67.1316;
52480.7;83.25;-33.3232;177.742;-0.00246018;-5.66092;-0.00906023;172.062;-67.5231;
53703.2;83.0906;-33.4809;177.684;-0.00266406;-5.79764;-0.00989963;171.861;-67.9178;
54954.1;82.9277;-33.6368;177.625;-0.00287759;-5.93741;-0.0107651;171.654;-68.3162;
56234.1;82.7613;-33.7909;177.565;-0.00310122;-6.08033;-0.0116586;171.44;-68.7188;
57544;82.5914;-33.943;177.504;-0.00333541;-6.22645;-0.0125818;171.219;-69.1262;
58884.4;82.4178;-34.0932;177.441;-0.00358067;-6.37585;-0.0135368;170.99;-69.5391;
60256;82.2405;-34.2413;177.377;-0.00383751;-6.52862;-0.0145256;170.753;-69.9583;
61659.5;82.0593;-34.3874;177.311;-0.00410647;-6.68483;-0.0155502;170.506;-70.3847;
63095.7;81.8743;-34.5312;177.244;-0.00438812;-6.84456;-0.0166128;170.249;-70.8193;
64565.4;81.6853;-34.6728;177.176;-0.00468304;-7.0079;-0.0177157;169.981;-71.2632;
66069.3;81.4923;-34.8121;177.106;-0.00499187;-7.17494;-0.0188611;169.7;-71.7177;
67608.3;81.2951;-34.9489;177.035;-0.00531524;-7.34575;-0.0200515;169.406;-72.1844;
69183.1;81.0937;-35.0833;176.962;-0.00565383;-7.52043;-0.0212894;169.097;-72.665;
70794.6;80.888;-35.2151;176.887;-0.00600837;-7.69906;-0.0225773;168.77;-73.1614;
72443.6;80.6779;-35.3443;176.811;-0.00637958;-7.88175;-0.023918;168.424;-73.676;
74131;80.4633;-35.4708;176.733;-0.00676826;-8.06859;-0.0253143;168.055;-74.2116;
75857.8;80.2441;-35.5945;176.654;-0.00717521;-8.25966;-0.026769;167.66;-74.7714;
77624.7;80.0202;-35.7154;176.572;-0.00760128;-8.45508;-0.0282854;167.234;-75.3593;
79432.8;79.7916;-35.8333;176.489;-0.00804738;-8.65494;-0.0298664;166.772;-75.98;
81283.1;79.5581;-35.9482;176.404;-0.00851442;-8.85935;-0.0315154;166.265;-76.6391;
83176.4;79.3196;-36.06;176.317;-0.0090034;-9.06841;-0.033236;165.704;-77.3439;
85113.8;79.076;-36.1686;176.228;-0.00951533;-9.28222;-0.0350316;165.074;-78.1032;
87096.4;78.8272;-36.274;176.137;-0.0100513;-9.5009;-0.036906;164.357;-78.9286;
89125.1;78.5732;-36.376;176.045;-0.0106124;-9.72456;-0.0388631;163.524;-79.8348;
91201.1;78.3137;-36.4747;175.95;-0.0111998;-9.95332;-0.040907;162.534;-80.8422;
93325.4;78.0488;-36.5698;175.853;-0.0118147;-10.1873;-0.0430419;161.321;-81.9785;
95499.3;77.7781;-36.6615;175.753;-0.0124584;-10.4266;-0.0452723;159.777;-83.2837;
97723.7;77.5018;-36.7495;175.652;-0.0131323;-10.6713;-0.0476028;157.71;-84.8183;
100000;77.2196;-36.8338;175.548;-0.0138378;-10.9217;-0.0500383;154.742;-86.6781;
